feature__id,eventtype,alertlevel,country,eventname,glide,ring_index,vertex_index,x,y
,EQ,Green,Revilla Gigedo Islands Region,,,0,0,-109.4064,19.9438
,EQ,Green,Vanuatu,,,0,0,166.5776,-12.7502
,TC,Green,Japan,NAKRI-25,,0,0,158.0,35.4
,EQ,Green,Philippines,,,0,0,126.9259,5.7775
,EQ,Green,Papua New Guinea,,,0,0,153.0547,-4.5447
,VO,Green,Indonesia,Marapi,,0,0,100.474,-0.38
,EQ,Green,Chile,,,0,0,-68.64,-21.88
,EQ,Green,Russia,,,0,0,160.5314,53.6643
,EQ,Green,Japan,,,0,0,139.5058,39.605
,EQ,Green,China,,,0,0,81.416,41.6443
,EQ,Green,Philippines,,,0,0,126.7836,7.4155
,EQ,Green,Philippines,,,0,0,127.2027,7.3466
,FL,Green,Colombia,,,0,0,-73.8525627,7.0673313
,FL,Green,Spain,,,0,0,0.52702774674474,40.6525574
,FL,Green,Guatemala,,,0,0,-90.4757481,14.225024
,EQ,Green,Argentina,,,0,0,-69.4216,-32.0499
,EQ,Green,Russia,,,0,0,156.9695,50.6405
,EQ,Green,Russia,,,0,0,156.6747,50.0975
,EQ,Green,Tonga,,,0,0,-174.6454,-19.092
,EQ,Green,Pakistan,,,0,0,74.5704,36.7158
,EQ,Green,Philippines,,,0,0,126.988,7.1111
,EQ,Green,Micronesia,,,0,0,141.6049,7.2482
,EQ,Green,Solomon Islands,,,0,0,161.2627,-10.3071
,EQ,Green,Vanuatu,,,0,0,169.7044,-21.0283
,EQ,Green,"East Of North Island, N.Z.",,,0,0,-179.3476,-35.6075
,EQ,Green,Indonesia,,,0,0,114.1833,-7.2291
,EQ,Green,Myanmar,,,0,0,94.5236,22.4329
,EQ,Green,Japan,,,0,0,142.5944,38.5931
,EQ,Green,South Sandwich Islands Region,,,0,0,-25.4247,-58.9889
,EQ,Green,"East Of North Island, N.Z.",,,0,0,-179.3657,-35.5109
,EQ,Green,Chile,,,0,0,-71.6865,-30.6574
,EQ,Green,Russia,,,0,0,154.8053,48.9057
,FL,Green,Mexico,,FL-2025-000193-MEX,0,0,-105.220306,20.6407176
,EQ,Green,Indonesia,,,0,0,122.6421,-4.7143
,EQ,Green,Reykjanes Ridge,,,0,0,-33.8459,57.1359
,EQ,Green,Reykjanes Ridge,,,0,0,-33.5127,56.9192
,EQ,Green,Russia,,,0,0,159.0215,52.5385
,EQ,Green,Philippines,,,0,0,127.4028,7.2708
,EQ,Orange,Philippines,,EQ-2025-000192-PHL,0,0,123.9375,10.9457
,EQ,Green,Argentina,,,0,0,-70.1041,-32.6039
,EQ,Green,Indonesia,,,0,0,126.9549,1.5366
,EQ,Green,Russia,,,0,0,161.4288,53.0475
,EQ,Green,China,,,0,0,103.1367,30.4852
,EQ,Green,Greenland Sea,,,0,0,6.9195,75.9176
,EQ,Green,Indonesia,,,0,0,139.3097,-2.7344
,TC,Green,Mexico,RAYMOND-25,,0,0,-110.0,22.9
,EQ,Green,Mexico,,,0,0,-94.3667,17.4321
,EQ,Green,Philippines,,,0,0,127.0336,7.2427
,EQ,Green,South Of Mariana Islands,,,0,0,144.4819,12.3055
,EQ,Green,Off East Coast Of Kamchatka,,,0,0,160.7335,51.7293
,EQ,Green,Ethiopia,,EQ-2025-000191-ETH,0,0,39.8083,13.8263
,TC,Green,"Antigua and Barbuda, Montserrat, Anguilla, Virgin Islands  British, Virgin Islands  U.S., Saint Kitts and Nevis, Guadeloupe, Dominica, Martinique",JERRY-25,,0,0,-63.6,27.6
,EQ,Green,Philippines,,,0,0,126.9787,7.6918
,EQ,Green,Ethiopia,,EQ-2025-000191-ETH,0,0,39.7476,13.9819
,EQ,Green,Drake Passage,,,0,0,-61.0859,-60.2664
,EQ,Orange,Ethiopia,,EQ-2025-000191-ETH,0,0,39.8663,13.7902
,EQ,Green,Ethiopia,,EQ-2025-000191-ETH,0,0,39.946,13.8185
,EQ,Green,Papua New Guinea,,,0,0,149.9302,-6.1703
,EQ,Green,Kermadec Islands Region,,,0,0,-178.0277,-31.5685
,EQ,Green,Pakistan,,,0,0,71.0598,31.1252
,EQ,Green,Philippines,,,0,0,126.3963,8.92
,EQ,Green,Philippines,,,0,0,125.2408,10.5951
,EQ,Green,"Andreanof Islands, Aleutian Is.",,,0,0,-179.8482,51.0073
,EQ,Green,South Sandwich Islands Region,,,0,0,-26.5568,-56.3773
,EQ,Green,Philippines,,,0,0,127.0286,6.8025
,EQ,Green,Russia,,,0,0,156.6974,50.3263
,EQ,Green,Philippines,,,0,0,126.798,7.2713
,EQ,Green,Philippines,,,0,0,120.44,15.2385
,EQ,Green,Papua New Guinea,,,0,0,148.4716,-3.1483
,EQ,Green,South Sandwich Islands Region,,,0,0,-26.4921,-56.1829
,EQ,Green,"Mindanao, Philippines",,,0,0,126.8701,7.1159
,EQ,Green,"Southeast Of Honshu, Japan",,,0,0,138.4539,30.3456
,EQ,Green,China,,,0,0,103.4597,27.1032
,EQ,Green,Russian Federation,,,0,0,159.7815,53.2522
,EQ,Green,Philippines,,,0,0,126.9131,7.0043
,FL,Green,France,,,0,0,-61.3476233,16.3316709
,EQ,Green,Drake Passage,,,0,0,-61.8182,-60.2488
,EQ,Green,Papua New Guinea,,,0,0,145.723,-6.3108
,EQ,Green,Drake Passage,,,0,0,-62.3905,-60.3594
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0559,7.4016
,EQ,Green,Drake Passage,,,0,0,-62.5368,-60.1049
,EQ,Green,Drake Passage,,,0,0,-62.4775,-60.0861
,EQ,Green,Drake Passage,,,0,0,-62.3553,-60.0413
,EQ,Green,Drake Passage,,,0,0,-61.5268,-60.031
,EQ,Green,Drake Passage,,,0,0,-62.6546,-60.0289
,TC,Green,,KAREN-25,,0,0,-30.2,47.5
,TC,Green,Mexico,PRISCILLA-25,,0,0,-115.4,26.3
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.2601,7.1762
,EQ,Green,Chile,,,0,0,-61.799,-60.1958
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9662,6.9304
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.298,7.2319
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0178,7.0835
,EQ,Green,Philippines,,,0,0,122.2656,17.5045
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7177,7.4209
,EQ,Green,Indonesia,,,0,0,126.6231,3.7989
,EQ,Green,China,,,0,0,103.6442,27.1386
,EQ,Green,Greenland,,,0,0,-37.7715,65.8514
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.1888,7.3513
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0663,7.4134
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.2314,7.0649
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.1347,7.3418
,EQ,Green,South Sandwich Islands Region,,,0,0,-29.0845,-55.2238
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9585,7.2841
,EQ,Green,"W. Caroline Islands, Micronesia",,,0,0,141.6218,11.6386
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.15,7.2528
,EQ,Green,Russia,,,0,0,156.5204,50.3802
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7553,7.1716
